list,lemma,count
lemmesMotiliteDE,Wert des Reisens,0
lemmesMotiliteDE,Zeitbudget für Mobilität,0
lemmesMotiliteDE,Zeitbudget Mobilität,0
lemmesMotiliteDE,Zugang zu Verkehrsmitteln,0
lemmesMotiliteDE,Ökonomischer Faktor Mobilität,0
lemmesTempsDE,Ankündigung,1
lemmesTempsDE,Auto,28
lemmesTempsDE,Barrierefreiheit,0
lemmesTempsDE,Bedürfnisbefriedigung,0
lemmesTempsDE,Beleuchtung,12
lemmesTempsDE,Dauer,21
lemmesTempsDE,Dienstleistungsqualität,0
lemmesTempsDE,Effizienz,19
lemmesTempsDE,Einsteigen,0
lemmesTempsDE,Einstieg,0
lemmesTempsDE,empfinden,2
lemmesTempsDE,wahrnehmen,51
lemmesTempsDE,Entfernung,3
lemmesTempsDE,Ergonomie,0
lemmesTempsDE,Erlebnis,5
lemmesTempsDE,Erfahrung,27
lemmesTempsDE,Erlebnisqualität,1
lemmesTempsDE,Erreichbarkeitsqualität,0
lemmesTempsDE,Erwartung,7
lemmesTempsDE,Erwartungserfüllung,0
lemmesTempsDE,Erwartungskongruenz,0
lemmesTempsDE,Fahrgastzufriedenheit,0
lemmesTempsDE,Fahrrad,10
lemmesTempsDE,Fahrstress,0
lemmesTempsDE,Fahrumgebungserleben,0
lemmesTempsDE,Flüssigkeit,0
lemmesTempsDE,Verkehrsfluss,24
lemmesTempsDE,Fußweg,51
lemmesTempsDE,Gemeinschaftsverkehr,0
lemmesTempsDE,Geräuschkulisse,0
lemmesTempsDE,Geschwindigkeit,10
lemmesTempsDE,Kilometer,19
lemmesTempsDE,Komfort,16
lemmesTempsDE,Komfortwahrnehmung,0
lemmesTempsDE,Kosten,202
lemmesTempsDE,Lebensqualität,83
lemmesTempsDE,Leistung,92
lemmesTempsDE,Lärmempfinden,0
lemmesTempsDE,Minute,25
lemmesTempsDE,Mobilitätserlebnis,0
lemmesTempsDE,Mobilitätsqualität,0
lemmesTempsDE,Mobilitätsstress,0
lemmesTempsDE,Mobilitätszufriedenheit,0
lemmesTempsDE,Nutzerzufriedenheit,0
lemmesTempsDE,Nutzungsbarrieren,0
lemmesTempsDE,Nutzungsfreundlichkeit,0
lemmesTempsDE,Nutzungszufriedenheit,0
lemmesTempsDE,optimal,337
lemmesTempsDE,Optimierung,135
lemmesTempsDE,Praktikabilität,0
lemmesTempsDE,pünktlich,1
lemmesTempsDE,Pünktlichkeit,4
lemmesTempsDE,Regelmäßigkeit,0
lemmesTempsDE,Reisebelastung,0
lemmesTempsDE,Reiseerlebnis,0
lemmesTempsDE,Reisezeitwahrnehmung,0
lemmesTempsDE,Rhythmus,3
lemmesTempsDE,Sauberkeit,0
lemmesTempsDE,Schnelligkeit,0
lemmesTempsDE,Serviceerlebnis,0
lemmesTempsDE,Sicherheit,133
lemmesTempsDE,Stress,2
lemmesTempsDE,Stunde,24
lemmesTempsDE,Taktfrequenz,0
lemmesTempsDE,U-Bahn,0
lemmesTempsDE,verbessern,347
lemmesTempsDE,Verbesserung,321
lemmesTempsDE,Verkehrsangemessenheit,0
lemmesTempsDE,Verkehrsflussqualität,0
lemmesTempsDE,Verkehrsgerechtigkeit,0
lemmesTempsDE,Verkehrsqualität,17
lemmesTempsDE,Verkehrsstress,0
lemmesTempsDE,Verkehrsüberlastung,9
lemmesTempsDE,Verlangsamung,2
lemmesTempsDE,Verspätung,1
lemmesTempsDE,wahrnehmen,51
lemmesTempsDE,Wahrnehmung,9
lemmesTempsDE,Wohlfühlmobilität,0
lemmesTempsDE,Zahlung,0
lemmesTempsDE,Zeit,82
lemmesTempsDE,Zeitdruck,0
lemmesTempsDE,Zeitgewinn,0
lemmesTempsDE,Zeitqualität,0
lemmesTempsDE,Zugänglichkeit,53
lemmesTempsDE,zuverlässig,39
lemmesTempsDE,Zuverlässigkeit,18
lemmesTempsDE,ÖPNV,0
lemmesTempsDE,Überlastung,16
lemmesTempsDE,Sättigung,0
lemmesTempsDE,Affektive Mobilität,0
lemmesTempsDE,angenehm leben,0
lemmesTempsDE,angenehmeres Leben,0
lemmesTempsDE,angenehmes Leben,0
lemmesTempsDE,Erlebnisorientierte Mobilität,0
lemmesTempsDE,kollektiver Verkehr,0
lemmesTempsDE,Komfortdimension Mobilität,0
lemmesTempsDE,Lebensqualität Mobilität,3
lemmesTempsDE,Modaler Komfortvergleich,0
lemmesTempsDE,Multisensorische Mobilitätserfahrung,0
lemmesTempsDE,Nutzung erleichtern,1
lemmesTempsDE,Nutzungsfreundlichkeit fördern,0
lemmesTempsDE,Raumzeitliche Effizienz,0
lemmesTempsDE,Rhythmisierung Alltags,0
lemmesTempsDE,Räumliche Wahrnehmung,0
lemmesTempsDE,Räumlicher Komfort,0
lemmesTempsDE,Straßenbahn / Tram,0
lemmesTempsDE,Subjektive Mobilität,0
lemmesTempsDE,Subjektive Sicherheit,0
lemmesTempsDE,Technologische Akzeptanz,0
lemmesTempsDE,Temporale Mobilitätserfahrung,0
lemmesTempsDE,Umweltwahrnehmung Verkehr,0
lemmesTempsDE,Verkehrliche Lebenswelt,0
lemmesTempsDE,Wohlbefinden im Verkehr,0
lemmesTempsDE,Zeitdimension der Mobilität,0
lemmesTempsDE,öffentlicher Verkehr,0
